"appid","max_discount","has_discount","first_discount_date"
"292910",90,TRUE,"2019-04-11"
"296870",90,TRUE,"2019-04-07"
"30",90,TRUE,"2019-06-25"
"300",90,TRUE,"2019-06-25"
"303720",90,TRUE,"2019-04-15"
"306020",90,TRUE,"2019-06-25"
"307670",90,TRUE,"2019-06-03"
"307690",90,TRUE,"2019-06-21"
"308040",90,TRUE,"2019-04-15"
"315660",90,TRUE,"2019-05-16"
"320",90,TRUE,"2019-06-25"
"320300",90,TRUE,"2019-05-17"
"321960",90,TRUE,"2019-06-25"
"327090",90,TRUE,"2019-05-13"
"329430",90,TRUE,"2019-06-25"
"331790",90,TRUE,"2019-05-28"
"337150",90,TRUE,"2019-05-14"
"344230",90,TRUE,"2019-05-27"
"350640",90,TRUE,"2019-06-25"
"351940",90,TRUE,"2019-04-07"
"363930",90,TRUE,"2019-04-08"
"368230",90,TRUE,"2019-04-07"
"368360",90,TRUE,"2019-05-16"
"371460",90,TRUE,"2019-05-06"
"380",90,TRUE,"2019-06-25"
"384740",90,TRUE,"2019-06-25"
"385070",90,TRUE,"2019-06-25"
"391660",90,TRUE,"2019-06-25"
"39680",90,TRUE,"2019-04-29"
"400",90,TRUE,"2019-06-25"
"400170",90,TRUE,"2019-06-04"
"400740",90,TRUE,"2019-05-13"
"402220",90,TRUE,"2019-04-08"
"407000",90,TRUE,"2020-05-11"
"40800",90,TRUE,"2019-06-25"
"410110",90,TRUE,"2019-04-29"
"41070",90,TRUE,"2019-06-18"
"412170",90,TRUE,"2019-06-25"
"414070",90,TRUE,"2019-05-17"
"420",90,TRUE,"2019-06-25"
"420290",90,TRUE,"2019-04-22"
"421050",90,TRUE,"2019-05-16"
"425340",90,TRUE,"2019-06-25"
"428630",90,TRUE,"2019-05-13"
"429280",90,TRUE,"2019-05-06"
"444490",90,TRUE,"2019-05-28"
"454150",90,TRUE,"2019-05-20"
"454690",90,TRUE,"2019-06-25"
"464340",90,TRUE,"2019-04-25"
"46500",90,TRUE,"2019-04-25"
"465760",90,TRUE,"2019-05-16"
"485390",90,TRUE,"2019-04-29"
"488790",90,TRUE,"2019-05-06"
"50",90,TRUE,"2019-06-25"
"500",90,TRUE,"2019-05-16"
"503560",90,TRUE,"2019-04-30"
"504880",90,TRUE,"2019-05-13"
"509240",90,TRUE,"2019-05-17"
"519190",90,TRUE,"2019-05-08"
"523150",90,TRUE,"2019-05-06"
"528070",90,TRUE,"2019-05-20"
"528300",90,TRUE,"2019-04-15"
"538590",90,TRUE,"2019-04-07"
"546200",90,TRUE,"2019-05-06"
"554510",90,TRUE,"2019-04-29"
"555920",90,TRUE,"2019-05-13"
"568570",90,TRUE,"2019-04-07"
"570780",90,TRUE,"2019-04-07"
"57300",90,TRUE,"2019-04-20"
"581670",90,TRUE,"2019-05-21"
"620",90,TRUE,"2019-06-25"
"64000",90,TRUE,"2019-05-12"
"70",90,TRUE,"2019-06-25"
"80",90,TRUE,"2019-06-25"
"8190",90,TRUE,"2019-06-21"
"8000",89,TRUE,"2019-06-21"
"8140",89,TRUE,"2019-06-21"
"222750",88,TRUE,"2019-06-26"
"570770",88,TRUE,"2019-04-07"
"635200",88,TRUE,"2019-04-22"
"287290",87,TRUE,"2019-04-25"
"34830",87,TRUE,"2019-04-15"
"34870",87,TRUE,"2019-04-15"
"412290",87,TRUE,"2019-05-28"
"414290",87,TRUE,"2019-04-15"
"415960",87,TRUE,"2019-04-22"
"443940",87,TRUE,"2019-05-17"
"448500",87,TRUE,"2019-04-25"
"467000",87,TRUE,"2019-04-15"
"485420",87,TRUE,"2019-04-15"
"492130",87,TRUE,"2019-04-15"
"493730",87,TRUE,"2019-04-15"
"532030",87,TRUE,"2019-04-29"
"546400",87,TRUE,"2019-04-08"
"574810",87,TRUE,"2019-04-15"
"596690",87,TRUE,"2019-04-15"
"619520",87,TRUE,"2019-04-15"
"631530",87,TRUE,"2019-04-15"
"39190",86,TRUE,"2019-06-21"
"39200",86,TRUE,"2019-06-21"
"475550",86,TRUE,"2019-04-13"
"546660",86,TRUE,"2019-06-25"
"6910",86,TRUE,"2019-06-21"
"107100",85,TRUE,"2019-06-25"
"207140",85,TRUE,"2019-05-09"
"20900",85,TRUE,"2019-04-08"
"20920",85,TRUE,"2019-04-08"
"213610",85,TRUE,"2019-04-29"
"219640",85,TRUE,"2019-06-10"
"220240",85,TRUE,"2019-05-16"
"221910",85,TRUE,"2019-05-09"
"223100",85,TRUE,"2019-05-04"
"223850",85,TRUE,"2019-06-25"
"225260",85,TRUE,"2019-06-25"
"225540",85,TRUE,"2019-06-21"
"226860",85,TRUE,"2019-04-22"
"230190",85,TRUE,"2019-05-17"
"231160",85,TRUE,"2019-04-29"
"235900",85,TRUE,"2019-04-29"
"236150",85,TRUE,"2019-05-28"
"238010",85,TRUE,"2019-06-21"
"238320",85,TRUE,"2019-06-25"
"239160",85,TRUE,"2019-06-21"
